Ambriz	-7.863084	13.1192563	24746	Bengo
Andulo	-11.48374	16.6939803	26935	Bie
Bailundo	-12.1900875	15.8407722	32334	Huambo
Balombo	-12.3536727	14.7725134	6985	Benguela
Baía Farta	-12.6101319	13.1942224	13761	Benguela
Benguela	-12.58	13.4077778	131281	Benguela
Bibala	-14.7605312	13.3558409	5165	Namibe
Bimbe	-11.8222054	15.8378366	3463	Huambo
Biula	-11.1768956	20.2191833	4381	Lunda Sul
Bungo	-7.4385522	15.386309	3461	Uige
Cabamba	-8.351423	17.5061393	4109	Malanje
Cabinda	-5.55	12.1833333	377931	Cabinda
Caboledo	-9.6511036	13.2576906	3966	Bengo
Cacolo	-10.1413192	19.2682849	4521	Lunda Sul
Caconda	-13.7351702	15.0674317	3497	Huila
Caculama	-9.4804835	16.851763	3897	Malanje
Cacuso	-9.4166667	15.75	5020	Malanje
Cafunfo	-8.7666667	18.0	23066	Lunda Norte
Cahama	-16.2817659	14.3006514	4282	Cunene
Caiengue	-12.4227071	15.7087128	3883	Huambo
Caimbambo	-13.0287236	14.0043327	14806	Benguela
Calandala	-9.2102809	17.9813322	5386	Lunda Norte
Calenga	-12.849401	15.4683193	13082	Huambo
Calonda	-8.4658486	20.5543202	3944	Lunda Norte
Calucinga	-11.3225542	16.2022072	4106	Bie
Calulo	-10.0008333	14.8961111	5656	Cuanza Norte
Caluquembe	-13.7866658	14.687936	25348	Huila
Camabatela	-8.1833333	15.3666667	8691	Cuanza Norte
Camacupa	-12.0181443	17.4736016	12463	Bie
Camanongue	-11.4405238	20.1670628	4114	Moxico
Camaxilo	-8.3402393	18.9086252	4639	Lunda Norte
Cambambe	-9.7490652	14.5130967	4302	Cuanza Norte
Cambongue	-15.1497169	12.1704191	3638	Namibe
Cambundi	-10.0690136	17.5416395	5043	Malanje
Camissombo	-8.1561234	20.6571188	3649	Lunda Norte
Candjimbe	-12.272873	15.2224062	6401	Huambo
Cangamba	-13.6943526	19.8603732	3414	Moxico
Cangandala	-9.7887675	16.4302811	4048	Malanje
Cangumbe	-11.957682	19.204357	4849	Moxico
Capelongo	-14.4687189	16.2904635	11098	Huila
Capenda Camulemba	-9.4176096	18.435023	3562	Lunda Norte
Capulo	-7.9469679	13.159617	13157	Bengo
Cassanguide	-7.4842068	21.3008976	3615	Lunda Norte
Cassongue	-11.8488298	15.0586639	4682	Cuanza Sul
Catabola	-12.1432701	17.281417	22790	Bie
Catacanha	-8.0566462	13.2288374	5635	Bengo
Catchiungo	-12.5581816	16.2257384	15566	Huambo
Catumbela	-12.4211276	13.5494757	14862	Benguela
Caungula	-8.427014	18.6328299	0	Lunda Norte
Caxita Cameia	-8.4117649	17.4528979	11013	Malanje
Caxito	-8.5821947	13.6565321	11749	Bengo
Cazaje	-11.0680501	20.7055417	6539	Lunda Sul
Cazombo	-11.8922753	22.9029014	13318	Moxico
Caála	-12.8525	15.5605556	41181	Huambo
Cela	-11.4175753	15.1083542	3603	Cuanza Sul
Chiange	-15.7393801	13.8897501	4152	Huila
Chibanda	-12.1622153	16.7507397	4846	Bie
Chibemba	-15.7531064	14.0754506	3741	Huila
Chibia	-15.185874	13.6970626	3678	Huila
Chicala	-11.9394557	19.6311969	3523	Moxico
Chingufo	-7.6158267	20.5304842	3903	Lunda Norte
Chipindo	-13.8291389	15.7996769	13723	Huila
Chissamba	-12.1639352	17.3242764	0	Bie
Chitado	-17.3231981	13.9209245	3656	Cunene
Chitembo	-13.5185249	16.7529514	3971	Bie
Coemba	-12.1454654	18.0865424	4608	Bie
Colui	-14.5171527	16.0023054	5093	Huila
Conda	-11.1137192	14.3500975	7315	Cuanza Sul
Cota	-9.2578967	16.0934117	4677	Malanje
Coutada	-17.0192257	21.2994071	3821	Cuando Cubango
Cuangar	-17.6053207	18.6264694	3897	Cuando Cubango
Cuango-Luzamba	-9.1181024	18.0450467	11709	Lunda Norte
Cuasa	-11.3544478	21.8300296	3518	Moxico
Cubal	-13.0403695	14.2512221	41142	Benguela
Cuchi	-12.9	16.666667	16274	Bie
Cuilo	-8.2392359	19.5240814	3890	Lunda Norte
Cuima	-13.2444444	15.6413889	6546	Huambo
Cuimba	-6.1143747	14.6179761	13927	Zaire
Cuito Canavale	-15.1666667	19.1666667	8702	Cuando Cubango
Cuvelai	-15.6666667	15.8	5737	Cunene
Dala	-11.0303267	20.201313	4168	Lunda Sul
Damba	-6.695853	15.1405147	3827	Uige
Didimbo	-17.5	21.75	0	Cuando Cubango
Dombe Grande	-12.9471443	13.0961989	18208	Benguela
Dondo	-9.6031493	14.373372	30338	Cuanza Norte
Dongo	-14.6	15.7166667	9134	Huila
Dundo	-7.3741779	20.8195292	40055	Lunda Norte
Ekunha	-12.6850906	15.509339	5948	Huambo
Folgares	-14.8950087	15.0732771	6380	Huila
Funda	-8.8419444	13.5519444	3479	Luanda
Gabela	-10.85	14.3666667	4442	Cuanza Sul
Galo	-11.3436215	14.3355527	5241	Cuanza Sul
Ganda	-11.52322	15.80234	26118	Huambo
Golungo Alto	-9.1333333	14.7666667	7142	Cuanza Norte
Guri	-8.3915117	17.6940475	3583	Lunda Norte
Huambo	-12.7666667	15.7333333	333387	Huambo
Humpata	-15.0251228	13.3760577	4122	Namibe
Jamba	-15.133333	21.116667	0	Moxico
Jamba	-15.133333	21.116667	0	Moxico
Kuito	-12.380916	16.935425	180764	Bie
Leúa	-11.6527482	20.4411046	5411	Moxico
Lobito	-12.3666667	13.5333333	145652	Benguela
Lombe	-9.4899489	16.1536828	3619	Malanje
Longa	-14.6068541	18.4795361	3403	Cuando Cubango
Longonjo	-12.9018025	15.2458111	5259	Huambo
Luacano	-11.2074453	21.6571293	7179	Moxico
Luanda	-8.8383333	13.2344444	2583981	Luanda
Luau	-10.7	22.2333333	0	Lunda Sul
Luau	-10.7	22.2333333	7951	Lunda Sul
Lubango	-14.9230556	13.4916667	250921	Huila
Lucala	-9.633333	14.066667	3849	Bengo
Lucapa	-8.4166667	20.7333333	27236	Lunda Norte
Lucusse	-12.5286831	20.816549	3542	Moxico
Luena	-11.79	19.9	84619	Moxico
Luiana	-17.3813	23.010509	3577	Cuando Cubango
Luimbale	-12.2397693	15.3160455	5390	Huambo
Luma Cassao	-11.2414431	19.7643762	3597	Lunda Sul
Lumbala	-14.1048635	21.4380223	3936	Moxico
Lumeje	-11.5613991	20.7822772	3591	Moxico
Luremo	-8.515386	17.8317307	3890	Lunda Norte
Luxilo	-7.5952908	21.3471022	3785	Lunda Norte
Lândana	-5.22343	12.1439	16783	Cabinda
Malanje	-9.5469	16.3387	156829	Malanje
Malembo	-5.3383875	12.1875745	7382	Cabinda
Maludi	-8.0193775	21.2889739	5918	Lunda Norte
Marimba	-8.3572687	17.0214647	4691	Malanje
Marimbanguengo	-8.1734961	17.488391	4371	Malanje
Massango	-11.33317	14.88877	4302	Cuanza Sul
Matala	-14.7398455	15.0148322	33231	Huila
Mavinga	-15.7958333	20.3572222	4442	Cuando Cubango
Mbanza-Congo	-6.2666667	14.25	30768	Zaire
Menongue	-14.6666667	17.7	31445	Cuando Cubango
Muchinda	-9.3348668	18.1917884	3695	Lunda Norte
Muconda	-10.2350653	21.4752851	3506	Lunda Sul
Mucumbo	-7.3869187	21.1324804	4846	Lunda Norte
Mucusso	-18.0210825	21.4290793	3959	Cabinda
Mucussueje	-11.0263489	21.9373445	5643	Lunda Sul
Muginga	-8.350155	17.5919395	10063	Lunda Norte
Mulondo	-15.6479564	15.200467	5065	Huila
Mungo	-11.8384854	16.2257384	6643	Huambo
Munhango	-12.1574002	18.5552215	4022	Bie
Mussende	-10.5183711	16.0081819	12372	Cuanza Sul
Musserra	-7.5373279	13.0097724	4060	Zaire
Mussuco	-8.4073141	17.7221709	9467	Lunda Norte
N'dalatando	-9.2993916	14.9096846	45295	Cuanza Norte
N'zeto	-7.2269461	12.8687414	10479	Zaire
Namacunde	-17.3082074	15.8451758	3479	Cunene
Namibe	-15.187	12.1561	89442	Namibe
Negage	-7.7606204	15.2721456	37622	Uige
Nharea	-11.467734	16.9653756	9496	Bie
Nzagi	-7.6888889	21.3619444	22981	Lunda Norte
Nóqui	-5.8734941	13.4323929	3741	Zaire
Ondjiva	-17.0627088	15.7028457	19099	Cunene
Pinheiro	-12.8056604	15.6383202	4713	Huambo
Porto Amboim	-10.7330115	13.7694692	8755	Cuanza Sul
Quela	-9.2569695	17.074614	3543	Malanje
Quibala	-10.7352213	14.9812359	4406	Cuanza Sul
Quibaxe	-8.499691	14.5859219	4261	Cuanza Norte
Quicombo	-11.3202376	13.8172789	4847	Cuanza Sul
Quilengues	-14.0725559	14.0710954	6427	Huila
Quimavongo	-7.613564	13.0299331	15741	Zaire
Quimavongo	-7.613564	13.0299331	15741	Zaire
Quimbango	-10.9662683	17.5756649	4004	Malanje
Quimbango	-10.9662683	17.5756649	4004	Malanje
Quimbele	-6.5167326	16.2139724	8055	Uige
Quimbele	-6.5167326	16.2139724	8055	Uige
Quipungo	-14.8164428	14.5363969	6817	Huila
Quipungo	-14.8164428	14.5363969	6817	Huila
Quirima	-10.8948788	18.0880245	6427	Malanje
Quirima	-10.8948788	18.0880245	3562	Malanje
Saco	-15.1210253	12.143262	5988	Namibe
Samunona	-8.5558831	20.4992004	3910	Lunda Norte
Saurimo	-9.6612173	20.3904598	78417	Lunda Sul
Savate	-16.8475793	17.9798506	4371	Cuando Cubango
Savungo	-10.4086424	18.722973	4094	Lunda Sul
Songo	-7.3522203	14.8483806	7633	Uige
Soyo	-6.1410265	12.3521148	75224	Zaire
Sumbe	-11.2122554	13.8477121	50458	Cuanza Sul
Tchindjenje	-12.8251667	14.9301246	6304	Huambo
Tchipelongo	-16.4905382	14.6223476	3733	Cunene
Techamutete	-15.2245029	16.0463837	4348	Huila
Tentativa	-8.5990722	13.5972063	3760	Bengo
Tombua	-15.8032	11.8459	7256	Namibe
Tumba	-7.4170876	21.0370989	4737	Lunda Norte
Uku	-11.4032809	14.3035595	28466	Cuanza Sul
Ukuma	-12.8565333	15.0645091	11533	Huambo
Uíge	-7.6102105	15.0615865	116751	Uige
Viana	-8.897137	13.34962	0	Luanda
Waku Kungo	-11.3583333	15.1194444	26948	Cuanza Sul
Xangongo	-16.7466667	14.9747222	8125	Cunene
Xá-Muteba	-9.5145843	17.8124807	3447	Lunda Norte
