Andalucía	37.5442706	-4.7277528	
Aragón	41.5976275	-0.9056623	
Asturias	43.3613953	-5.8593267	
Canarias	28.2915637	-16.6291304	
Cantabria	43.1828396	-3.9878427	
Castilla y León	41.8356821	-4.3976357	
Castilla-La Mancha	39.2795607	-3.097702	
Cataluña	41.5911589	1.5208624	
Comunidad Valenciana	39.4840108	-0.7532809	
Comunidad de Madrid	40.4167515	-3.7038322	
Extremadura	39.4937392	-6.0679194	
Galicia	42.5750554	-8.1338558	
Islas Baleares	39.5341789	2.8577105	
La Rioja	42.2870733	-2.539603	
Navarra	42.6953909	-1.6760691	
País Vasco	42.9896248	-2.6189273	
Región de Murcia	38.1398141	-1.366216	
